DR: 0.765428(50), 0.671655(all), eps: 0.200000
DR: 0.622158(50), 0.671541(all), eps: 0.200000
DR: 0.670324(50), 0.671614(all), eps: 0.200000
DR: 0.582102(50), 0.671408(all), eps: 0.200000
DR: 0.675204(50), 0.671441(all), eps: 0.200000
DR: 0.631869(50), 0.671351(all), eps: 0.200000
DR: 0.734206(50), 0.671545(all), eps: 0.200000
DR: 0.665462(50), 0.671532(all), eps: 0.200000
DR: 0.689840(50), 0.671600(all), eps: 0.200000
DR: 0.663907(50), 0.671582(all), eps: 0.200000
DR: 0.661933(50), 0.671595(all), eps: 0.200000
DR: 0.747528(50), 0.671766(all), eps: 0.200000
DR: 0.619164(50), 0.671677(all), eps: 0.200000
DR: 0.633093(50), 0.671590(all), eps: 0.200000
DR: 0.746160(50), 0.671831(all), eps: 0.200000
DR: 0.719999(50), 0.671939(all), eps: 0.200000
DR: 0.690402(50), 0.672053(all), eps: 0.200000
DR: 0.766746(50), 0.672264(all), eps: 0.200000
DR: 0.783766(50), 0.672540(all), eps: 0.200000
DR: 0.631266(50), 0.672449(all), eps: 0.200000
DR: 0.560787(50), 0.672271(all), eps: 0.200000
DR: 0.632284(50), 0.672183(all), eps: 0.200000
DR: 0.735136(50), 0.672394(all), eps: 0.200000
DR: 0.791192(50), 0.672655(all), eps: 0.200000
DR: 0.739368(50), 0.672872(all), eps: 0.200000
DR: 0.801296(50), 0.673153(all), eps: 0.200000
DR: 0.605134(50), 0.673006(all), eps: 0.200000
DR: 0.653981(50), 0.672964(all), eps: 0.200000
DR: 0.664162(50), 0.673016(all), eps: 0.200000
DR: 0.793507(50), 0.673277(all), eps: 0.200000
DR: 0.760393(50), 0.673536(all), eps: 0.200000
DR: 0.612590(50), 0.673405(all), eps: 0.200000
DR: 0.673320(50), 0.673346(all), eps: 0.200000
DR: 0.647231(50), 0.673290(all), eps: 0.200000
DR: 0.764318(50), 0.673551(all), eps: 0.200000
DR: 0.782101(50), 0.673783(all), eps: 0.200000
DR: 0.748269(50), 0.674011(all), eps: 0.200000
DR: 0.717207(50), 0.674103(all), eps: 0.200000
DR: 0.777684(50), 0.674392(all), eps: 0.200000
DR: 0.755287(50), 0.674564(all), eps: 0.200000
DR: 0.709256(50), 0.674706(all), eps: 0.200000
DR: 0.763839(50), 0.674893(all), eps: 0.200000
DR: 0.780886(50), 0.675150(all), eps: 0.200000
DR: 0.720816(50), 0.675246(all), eps: 0.200000
DR: 0.669395(50), 0.675302(all), eps: 0.200000
DR: 0.743912(50), 0.675445(all), eps: 0.200000
DR: 0.792435(50), 0.675757(all), eps: 0.200000
DR: 0.658646(50), 0.675721(all), eps: 0.200000
DR: 0.765127(50), 0.675945(all), eps: 0.200000
DR: 0.731612(50), 0.676060(all), eps: 0.200000
DR: 0.742921(50), 0.676265(all), eps: 0.200000
DR: 0.675031(50), 0.676262(all), eps: 0.200000
DR: 0.653936(50), 0.676274(all), eps: 0.200000
DR: 0.782417(50), 0.676492(all), eps: 0.200000
DR: 0.694209(50), 0.676538(all), eps: 0.200000
DR: 0.601096(50), 0.676384(all), eps: 0.200000
DR: 0.655085(50), 0.676335(all), eps: 0.200000
DR: 0.532004(50), 0.676041(all), eps: 0.200000
DR: 0.592678(50), 0.675891(all), eps: 0.200000
DR: 0.682310(50), 0.675904(all), eps: 0.200000
DR: 0.701311(50), 0.676021(all), eps: 0.200000
DR: 0.709987(50), 0.676089(all), eps: 0.200000
DR: 0.677131(50), 0.676133(all), eps: 0.200000
DR: 0.751526(50), 0.676284(all), eps: 0.200000
DR: 0.634846(50), 0.676260(all), eps: 0.200000
DR: 0.652745(50), 0.676213(all), eps: 0.200000
DR: 0.606412(50), 0.676114(all), eps: 0.200000
DR: 0.733312(50), 0.676228(all), eps: 0.200000
DR: 0.569932(50), 0.676042(all), eps: 0.200000
DR: 0.615107(50), 0.675921(all), eps: 0.200000
DR: 0.558093(50), 0.675698(all), eps: 0.200000
DR: 0.625762(50), 0.675600(all), eps: 0.200000
DR: 0.686348(50), 0.675622(all), eps: 0.200000
DR: 0.590322(50), 0.675454(all), eps: 0.200000
DR: 0.684398(50), 0.675516(all), eps: 0.200000
DR: 0.649556(50), 0.675465(all), eps: 0.200000
DR: 0.632136(50), 0.675400(all), eps: 0.200000
DR: 0.577626(50), 0.675209(all), eps: 0.200000
DR: 0.700357(50), 0.675266(all), eps: 0.200000
DR: 0.646497(50), 0.675210(all), eps: 0.200000
DR: 0.500383(50), 0.674847(all), eps: 0.200000
DR: 0.651755(50), 0.674802(all), eps: 0.200000
DR: 0.640992(50), 0.674738(all), eps: 0.200000
DR: 0.655279(50), 0.674700(all), eps: 0.200000
DR: 0.596261(50), 0.674509(all), eps: 0.200000
DR: 0.599423(50), 0.674364(all), eps: 0.200000
DR: 0.562634(50), 0.674143(all), eps: 0.200000
DR: 0.645176(50), 0.674088(all), eps: 0.200000
DR: 0.637542(50), 0.674061(all), eps: 0.200000
DR: 0.654729(50), 0.674024(all), eps: 0.200000
